name,DOID,ai
angiosarcoma,0001816,
pterygium,0002116,
disease of metabolism,0014667,
shrimp allergy,0040001,
aspirin allergy,0040002,
benzylpenicillin allergy,0040003,
amoxicillin allergy,0040004,
ceftriaxone allergy,0040005,
carbamazepine allergy,0040006,
abacavir allergy,0040007,
isoniazide allergy,0040008,
lidocaine allergy,0040009,
mepivacaine allergy,0040010,
phenobarbital allergy,0040011,
phenytoin allergy,0040012,
ranitidine allergy,0040013,
corticosteroid allergy,0040014,
sulfonamide allergy,0040015,
sulfamethoxazole allergy,0040016,
suprofen allergy,0040017,
thiopental allergy,0040018,
D-mannitol allergy,0040019,
cefotaxime allergy,0040020,
cephalosporin allergy,0040021,
amodiaquine allergy,0040022,
cefaclor allergy,0040023,
ceftazidime allergy,0040024,
cefuroxime allergy,0040025,
chlorhexidine allergy,0040026,
cyclophosphamide allergy,0040027,
succinylcholine allergy,0040028,
trimethoprim allergy,0040029,
cefixime allergy,0040030,
diclofenac allergy,0040031,
carbapenem allergy,0040032,
piperacillin allergy,0040033,
rocuronium allergy,0040034,
sulfasalazine allergy,0040035,
tubocurarine allergy,0040036,
aztreonam allergy,0040037,
meropenem allergy,0040038,
hexamethylene diisocyanate allergic asthma,0040040,
isocyanates allergic asthma,0040041,
"diphenylmethane-4,4'-diisocyanate allergic asthma",0040042,
toluene meta-diisocyanate allergic asthma,0040043,
methyl isocyanate allergic asthma,0040044,
nickel allergic asthma,0040045,
nickel allergic contact dermatitis,0040046,
trimellitic anhydride allergic asthma,0040047,
phthalic anhydride allergic asthma,0040048,
maleic anhydride allergic asthma,0040049,
tetrachlorophthalic anhydride allergic asthma,0040050,
hexahydrophthalic anhydride allergic asthma,0040051,
"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",0040052,
cobalt allergic contact dermatitis,0040053,
cobalt allergic asthma,0040054,
palladium allergic contact dermatitis,0040055,
chromium allergic contact dermatitis,0040056,
benzoic acid allergic contact dermatitis,0040057,
"1,4-phenylenediamine allergic contact dermatitis",0040058,
potassium dichromate allergic contact dermatitis,0040059,
ketoprofen photoallergic dermatitis,0040060,
remazole black respiratory allergy,0040061,
chloramine T respiratory allergy,0040062,
4-vinylcyclohexene dioxide respiratory allergy,0040063,
carvone allergic contact dermatitis,0040064,
quinidine allergy,0040065,
melphalan allergy,0040066,
neomycin sulfate allergic contact dermatitis,0040067,
4-tert-butylphenol allergic contact dermatitis,0040068,
"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",0040069,
co-trimoxazole allergy,0040070,
sodium aurothiomalate allergy,0040071,
parthenolide allergic contact dermatitis,0040072,
disodium cromoglycate allergy,0040073,
formaldehyde allergic contact dermatitis,0040074,
benzo[d]isothiazol-3-one allergic contact dermatitis,0040075,
phthalyl group allergy,0040076,
alcuronium bromide allergy,0040077,
gallamine allergy,0040078,
"2,4-dinitrophenyl allergic contact dermatitis",0040079,
patent blue V allergy,0040080,
acid anhydride respiratory allergy,0040081,
oxirane allergy,0040082,
Chlamydia pneumonia,0040083,
Streptococcus pneumonia,0040084,
bacterial sepsis,0040085,
Polyomavirus-associated nephropathy,0040086,
autoimmune peripheral neuropathy,0040087,
autoimmune uveitis,0040088,
autoimmune optic neuritis,0040089,
autoimmune gastritis,0040090,
autoimmune pancreatitis,0040091,
juvenile ankylosing spondylitis,0040092,
drug-induced lupus erythematosus,0040093,
autoimmune glomerulonephritis,0040094,
autoimmune cardiomyopathy,0040095,
autoimmune atherosclerosis,0040096,
autoimmune vasculitis,0040097,
pemphigus gestationis,0040098,
livedoid vasculitis,0040099,
Hirata disease,0040100,
"N,N'-diphenylthiourea allergic contact dermatitis",0040101,
"N,N'-diethylthiourea allergic contact dermatitis",0040102,
cefotiam allergy,0040103,
"toluene 2,4-diisocyanate allergic asthma",0040104,
obsolete Actinomadura madurae infectious disease,0050001,
obsolete Actinomadura pelletieri infectious disease,0050002,
obsolete Streptomyces somaliensis infectious disease,0050003,
seminal vesicle acute gonorrhea,0050004,
obsolete cutaneous strongyloidiasis,0050007,
obsolete intestinal strongyloidiasis,0050009,
obsolete Mansonella perstans infectious disease,0050010,
obsolete Mansonella streptocerca infectious disease,0050011,
chikungunya,0050012,
carbohydrate metabolism disease,0050013,
obsolete epizootic hemorrhagic disease,0050014,
obsolete Rocio virus encephalitis,0050015,
obsolete Ehrlichia ewingii ehrlichiosis,0050024,
human granulocytic anaplasmosis,0050025,
human monocytic ehrlichiosis,0050026,
mineral metabolism disease,0050032,
African tick-bite fever,0050035,
Astrakhan spotted fever,0050041,
Indian tick typhus,0050042,
Israeli tick typhus,0050043,
Far Eastern spotted fever,0050046,
Flinders Island spotted fever,0050047,
Japanese spotted fever,0050050,
Rickettsia parkeri spotted fever,0050051,
Rocky Mountain spotted fever,0050052,
obsolete Rickettsia honei spotted fever,0050053,
oropharyngeal anthrax,0050059,
erysipeloid,0050061,
obsolete abortive plague,0050063,
obsolete cutaneous listeriosis,0050065,
obsolete Listeria meningoencephalitis,0050066,
obsolete Listeria septicaemia,0050067,
obsolete pestis minor,0050068,
obsolete Yersinia pestis infectious disease,0050069,
obsolete plague meningitis,0050070,
