HPO,name,idSymptom
0000001,All,
0000002,Abnormality of body height,
0000003,Multicystic kidney dysplasia,
0000005,Mode of inheritance,
0000006,Autosomal dominant inheritance,
0000007,Autosomal recessive inheritance,
0000008,Abnormality of female internal genitalia,
0000009,Functional abnormality of the bladder,
0000010,Recurrent urinary tract infections,
0000011,Neurogenic bladder,
0000012,Urinary urgency,
0000013,Hypoplasia of the uterus,
0000014,Abnormality of the bladder,
0000015,Bladder diverticulum,
0000016,Urinary retention,
0000017,Nocturia,
0000019,Urinary hesitancy,
0000020,Urinary incontinence,
0000021,Megacystis,
0000022,Abnormality of male internal genitalia,
0000023,Inguinal hernia,
0000024,Prostatitis,
0000025,Functional abnormality of male internal genitalia,
0000026,Male hypogonadism,
0000027,Azoospermia,
0000028,Cryptorchidism,
0000029,Testicular atrophy,
0000030,Testicular gonadoblastoma,
0000031,Epididymitis,
0000032,Abnormality of male external genitalia,
0000033,"Ambiguous genitalia, male",
0000034,Hydrocele testis,
0000035,Abnormal testis morphology,
0000036,Abnormality of the penis,
0000037,Male pseudohermaphroditism,
0000039,Epispadias,
0000040,Long penis,
0000041,Chordee,
0000042,Absent external genitalia,
0000044,Hypogonadotrophic hypogonadism,
0000045,Abnormality of the scrotum,
0000046,Scrotal hypoplasia,
0000047,Hypospadias,
0000048,Bifid scrotum,
0000049,Shawl scrotum,
0000050,Hypoplastic male external genitalia,
0000051,Perineal hypospadias,
0000052,"Urethral atresia, male",
0000053,Macroorchidism,
0000054,Micropenis,
0000055,Abnormality of female external genitalia,
0000056,Abnormality of the clitoris,
0000057,obsolete Clitoromegaly,
0000058,Abnormality of the labia,
0000059,Hypoplastic labia majora,
0000060,Clitoral hypoplasia,
0000061,"Ambiguous genitalia, female",
0000062,Ambiguous genitalia,
0000063,Fused labia minora,
0000064,Hypoplastic labia minora,
0000065,Labial hypertrophy,
0000066,Labial hypoplasia,
0000067,"Urethral atresia, female",
0000068,Urethral atresia,
0000069,Abnormality of the ureter,
0000070,Ureterocele,
0000071,Ureteral stenosis,
0000072,Hydroureter,
0000073,Ureteral duplication,
0000074,Ureteropelvic junction obstruction,
0000075,Renal duplication,
0000076,Vesicoureteral reflux,
0000077,Abnormality of the kidney,
0000078,Abnormality of the genital system,
0000079,Abnormality of the urinary system,
0000080,Abnormality of reproductive system physiology,
0000081,Duplicated collecting system,
0000083,Renal insufficiency,
0000085,Horseshoe kidney,
0000086,Ectopic kidney,
0000089,Renal hypoplasia,
0000090,Nephronophthisis,
0000091,Abnormal renal tubule morphology,
0000092,Tubular atrophy,
0000093,Proteinuria,
0000095,Abnormality of renal glomerulus morphology,
0000096,Glomerulosclerosis,
0000097,Focal segmental glomerulosclerosis,
0000098,Tall stature,
0000099,Glomerulonephritis,
0000100,Nephrotic syndrome,
0000103,Polyuria,
0000104,Renal agenesis,
0000105,Enlarged kidney,
0000107,Renal cyst,
0000108,Renal corticomedullary cysts,
0000110,Renal dysplasia,
0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,
0000112,Nephropathy,
0000113,Polycystic kidney dysplasia,
0000114,Proximal tubulopathy,
0000117,Renal phosphate wasting,
0000118,Phenotypic abnormality,
0000119,Abnormality of the genitourinary system,
0000121,Nephrocalcinosis,
0000122,Unilateral renal agenesis,
0000123,Nephritis,
0000124,Renal tubular dysfunction,
0000125,Pelvic kidney,
0000126,Hydronephrosis,
0000127,Renal salt wasting,
0000128,Renal potassium wasting,
0000130,Abnormality of the uterus,
0000131,Uterine leiomyoma,
0000132,Menorrhagia,
0000133,Gonadal dysgenesis,
0000134,Female hypogonadism,
0000135,Hypogonadism,
0000136,Bifid uterus,
0000137,Abnormality of the ovary,
0000138,Ovarian cyst,
0000139,Uterine prolapse,
0000140,Abnormality of the menstrual cycle,
0000141,Amenorrhea,
0000142,Abnormal vagina morphology,
0000143,Rectovaginal fistula,
0000144,Decreased fertility,
0000145,Transverse vaginal septum,
0000147,Polycystic ovaries,
0000148,Vaginal atresia,
0000149,Ovarian gonadoblastoma,
0000150,Gonadoblastoma,
0000151,Aplasia of the uterus,
0000152,Abnormality of head or neck,
0000153,Abnormality of the mouth,
0000154,Wide mouth,
0000155,Oral ulcer,
0000157,Abnormality of the tongue,
0000158,Macroglossia,
0000159,Abnormal lip morphology,
0000160,Narrow mouth,
0000161,Median cleft lip,
0000162,Glossoptosis,
0000163,Abnormal oral cavity morphology,
0000164,Abnormality of the dentition,
0000166,Severe periodontitis,
0000168,Abnormality of the gingiva,
0000169,Gingival fibromatosis,
0000171,Microglossia,
0000172,Abnormality of the uvula,
0000174,Abnormal palate morphology,
0000175,Cleft palate,
0000176,Submucous cleft hard palate,
0000177,Abnormality of upper lip,
0000178,Abnormality of lower lip,
0000179,Thick lower lip vermilion,
0000180,Lobulated tongue,
0000182,Movement abnormality of the tongue,
0000183,Difficulty in tongue movements,
