symbol,ensembl,chromosome,initPos,finalPos,idGene
OBSL1,ENSG00000124006,2,219550728,219571859,
TTC19,ENSG00000011295,17,15999784,16045015,
SALL4,ENSG00000101115,20,51782331,51802521,
DEAF1,ENSG00000177030,11,644233,706715,
SOS2,ENSG00000100485,14,50117130,50231578,
KANK1,ENSG00000107104,9,470291,746106,
ERBB2,ENSG00000141736,17,39687914,39730426,
COL11A2,ENSG00000204248,6,33162681,33192499,
RNF17,ENSG00000132972,13,24764169,24879921,
TEAD1,ENSG00000187079,11,12674421,12944737,
TSEN34,ENSG00000274078,CHR_HSCHR19LRC_LRC_I_CTG3_1,54190866,54195141,
CRYBA1,ENSG00000108255,17,29246863,29254494,
POMT2,ENSG00000009830,14,77274956,77320884,
EPO,ENSG00000130427,7,100720468,100723700,
EIF2B2,ENSG00000119718,14,75002921,75012366,
COL11A2,ENSG00000206290,CHR_HSCHR6_MHC_QBL_CTG1,33091492,33121309,
BRCA1,ENSG00000012048,17,43044295,43170245,
EFHC1,ENSG00000096093,6,52362123,52529886,
ROR2,ENSG00000169071,9,91563091,91950228,
CSF1R,ENSG00000182578,5,150053291,150113372,
ERCC6L,ENSG00000186871,X,72204657,72239027,
CFD,ENSG00000197766,19,859664,863641,
POGZ,ENSG00000143442,1,151402724,151459494,
VCL,ENSG00000035403,10,73995193,74121363,
HNRNPH2,ENSG00000126945,X,101408222,101414133,
POU1F1,ENSG00000064835,3,87259404,87276584,
LGALS2,ENSG00000100079,22,37570248,37582616,
ALDH3A2,ENSG00000072210,17,19648136,19685760,
CYB5A,ENSG00000166347,18,74250846,74291973,
HOMER2,ENSG00000103942,15,82836946,82986153,
EPG5,ENSG00000152223,18,45847609,45967329,
PHYH,ENSG00000107537,10,13277796,13302412,
MLH3,ENSG00000119684,14,75013764,75051532,
FMN2,ENSG00000155816,1,240014348,240475187,
KIR3DL1,ENSG00000276501,CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1,54861074,54875379,
NDUFS3,ENSG00000285387,CHR_HG2114_PATCH,47565336,47584562,
KIR3DL1,ENSG00000283731,CHR_HSCHR19KIR_502960008-1_CTG3_1,54816443,54830754,
ACVR1B,ENSG00000135503,12,51951699,51997078,
SLCO1B1,ENSG00000134538,12,21131194,21239796,
